library;library-url;licence;Licence-url;copyright
annotations-2.20.42.jar;https://aws.amazon.com/sdk-for-java/;Apache 2.0 License;http://www.apache.org/licenses/LICENSE-2.0;Amazon Web Services, Inc.
apache-client-2.20.42.jar;https://aws.amazon.com/sdk-for-java/;Apache 2.0 License;http://www.apache.org/licenses/LICENSE-2.0;Amazon Web Services, Inc.
arns-2.20.42.jar;https://aws.amazon.com/sdk-for-java/;Apache 2.0 License;http://www.apache.org/licenses/LICENSE-2.0;Amazon Web Services, Inc.
auth-2.20.42.jar;https://aws.amazon.com/sdk-for-java/;Apache 2.0 License;http://www.apache.org/licenses/LICENSE-2.0;Amazon Web Services, Inc.
aws-core-2.20.42.jar;https://aws.amazon.com/sdk-for-java/;Apache 2.0 License;http://www.apache.org/licenses/LICENSE-2.0;Amazon Web Services, Inc.
aws-crt-0.21.10.jar;https://aws.amazon.com/sdk-for-java/;Apache 2.0 License;http://www.apache.org/licenses/LICENSE-2.0;Amazon Web Services, Inc.
aws-json-protocol-2.20.42.jar;https://aws.amazon.com/sdk-for-java/;Apache 2.0 License;http://www.apache.org/licenses/LICENSE-2.0;Amazon Web Services, Inc.
aws-query-protocol-2.20.42.jar;https://aws.amazon.com/sdk-for-java/;Apache 2.0 License;http://www.apache.org/licenses/LICENSE-2.0;Amazon Web Services, Inc.
aws-xml-protocol-2.20.42.jar;https://aws.amazon.com/sdk-for-java/;Apache 2.0 License;http://www.apache.org/licenses/LICENSE-2.0;Amazon Web Services, Inc.
commons-codec-1.15.jar;https://aws.amazon.com/sdk-for-java/;Apache 2.0 License;http://www.apache.org/licenses/LICENSE-2.0;Amazon Web Services, Inc.
comprehend-2.20.42.jar;https://aws.amazon.com/sdk-for-java/;Apache 2.0 License;http://www.apache.org/licenses/LICENSE-2.0;Amazon Web Services, Inc.
crt-core-2.20.42.jar;https://aws.amazon.com/sdk-for-java/;Apache 2.0 License;http://www.apache.org/licenses/LICENSE-2.0;Amazon Web Services, Inc.
dynamodb-2.20.42.jar;https://aws.amazon.com/sdk-for-java/;Apache 2.0 License;http://www.apache.org/licenses/LICENSE-2.0;Amazon Web Services, Inc.
endpoints-spi-2.20.42.jar;https://aws.amazon.com/sdk-for-java/;Apache 2.0 License;http://www.apache.org/licenses/LICENSE-2.0;Amazon Web Services, Inc.
eventstream-1.0.1.jar;https://aws.amazon.com/sdk-for-java/;Apache 2.0 License;http://www.apache.org/licenses/LICENSE-2.0;Amazon Web Services, Inc.
http-client-spi-2.20.42.jar;https://aws.amazon.com/sdk-for-java/;Apache 2.0 License;http://www.apache.org/licenses/LICENSE-2.0;Amazon Web Services, Inc.
iam-2.20.42.jar;https://aws.amazon.com/sdk-for-java/;Apache 2.0 License;http://www.apache.org/licenses/LICENSE-2.0;Amazon Web Services, Inc.
json-utils-2.20.42.jar;https://aws.amazon.com/sdk-for-java/;Apache 2.0 License;http://www.apache.org/licenses/LICENSE-2.0;Amazon Web Services, Inc.
kms-2.20.42.jar;https://aws.amazon.com/sdk-for-java/;Apache 2.0 License;http://www.apache.org/licenses/LICENSE-2.0;Amazon Web Services, Inc.
metrics-spi-2.20.42.jar;https://aws.amazon.com/sdk-for-java/;Apache 2.0 License;http://www.apache.org/licenses/LICENSE-2.0;Amazon Web Services, Inc.
personalize-2.20.42.jar;https://aws.amazon.com/sdk-for-java/;Apache 2.0 License;http://www.apache.org/licenses/LICENSE-2.0;Amazon Web Services, Inc.
personalizeruntime-2.20.42.jar;https://aws.amazon.com/sdk-for-java/;Apache 2.0 License;http://www.apache.org/licenses/LICENSE-2.0;Amazon Web Services, Inc.
profiles-2.20.42.jar;https://aws.amazon.com/sdk-for-java/;Apache 2.0 License;http://www.apache.org/licenses/LICENSE-2.0;Amazon Web Services, Inc.
protocol-core-2.20.42.jar;https://aws.amazon.com/sdk-for-java/;Apache 2.0 License;http://www.apache.org/licenses/LICENSE-2.0;Amazon Web Services, Inc.
redshift-2.20.42.jar;https://aws.amazon.com/sdk-for-java/;Apache 2.0 License;http://www.apache.org/licenses/LICENSE-2.0;Amazon Web Services, Inc.
regions-2.20.42.jar;https://aws.amazon.com/sdk-for-java/;Apache 2.0 License;http://www.apache.org/licenses/LICENSE-2.0;Amazon Web Services, Inc.
s3-2.20.42.jar;https://aws.amazon.com/sdk-for-java/;Apache 2.0 License;http://www.apache.org/licenses/LICENSE-2.0;Amazon Web Services, Inc.
s3-transfer-manager-2.20.42.jar;https://aws.amazon.com/sdk-for-java/;Apache 2.0 License;http://www.apache.org/licenses/LICENSE-2.0;Amazon Web Services, Inc.
sdk-core-2.20.42.jar;https://aws.amazon.com/sdk-for-java/;Apache 2.0 License;http://www.apache.org/licenses/LICENSE-2.0;Amazon Web Services, Inc.
sts-2.20.42.jar;https://aws.amazon.com/sdk-for-java/;Apache 2.0 License;http://www.apache.org/licenses/LICENSE-2.0;Amazon Web Services, Inc.
third-party-jackson-core-2.20.42.jar;https://aws.amazon.com/sdk-for-java/;Apache 2.0 License;http://www.apache.org/licenses/LICENSE-2.0;Amazon Web Services, Inc.
translate-2.20.42.jar;https://aws.amazon.com/sdk-for-java/;Apache 2.0 License;http://www.apache.org/licenses/LICENSE-2.0;Amazon Web Services, Inc.
utils-2.20.42.jar;https://aws.amazon.com/sdk-for-java/;Apache 2.0 License;http://www.apache.org/licenses/LICENSE-2.0;Amazon Web Services, Inc.
